title,price,new,good,fair,poor,destroyed,total
Symphonic Band Technique - Bb Tenor Saxophone,15.0,0,0,14,0,0,14
Symphonic Band Technique - Clarinet,15.0,0,0,2,0,0,2
Symphonic Band Technique - Cornet/Trumpet,15.0,0,0,0,17,0,17
Symphonic Band Technique - Eb Alto Saxophone,15.0,0,0,3,0,0,3
Symphonic Band Technique - Eb Baritone Saxophone,15.0,0,0,5,0,0,5
Symphonic Band Technique - Flute/Piccolo,15.0,0,0,25,0,0,25
Symphonic Band Technique - Horn in F,15.0,0,0,0,8,0,8
Symphonic Band Technique - Mallet,15.0,0,0,4,0,0,4
Symphonic Band Technique - Mallet Percussion,15.0,0,1,19,0,0,20
Symphonic Band Technique - Oboe,15.0,0,0,7,0,0,7
Symphonic Band Technique - Percussion,15.0,0,0,1,0,0,1
Symphonic Band Technique - Trombone,15.0,0,0,36,0,0,36
Symphonic Band Technique - Trumpet/ Cornet in Bb,15.0,0,0,0,27,0,27
Symphonic Band Technique - Tuba,15.0,0,0,12,0,0,12
Symphonic Band Technique -Tuba ,15.0,0,0,1,0,0,1
Symphonic Band Technique Placeholder,1.0,1,0,0,0,0,1
The Ancient Greeks,45.0,0,0,25,17,0,42
The Apprenticeship of Duddy Kravitz,37.0,0,40,0,4,0,44
The Bridge of San Luis Rey,16.0,0,38,0,0,0,38
The Broadview Anthology of Poetry,55.0,21,2,0,0,0,23
The Catcher in the Rye,13.0,0,0,114,0,0,114
The Catholic Church: Journey, Wisdom, and Mission,30.0,0,0,5,0,0,5
The Cellist of Sarajevo,15.0,0,21,26,0,0,47
The Ecstasy of Rita Joe and other plays,12.0,0,0,12,0,0,12
The Fifth Week,20.0,0,0,32,0,0,32
The Glass Menagerie,10.0,0,0,32,1,0,33
The Great Gatsby,21.0,1,27,75,11,0,114
The Importance of Being Earnest,10.0,26,1,2,23,0,52
The Kite Runner,12.0,0,0,24,0,0,24
The Merchant of Venice,25.0,37,0,8,77,0,122
The Norton Anthology of Short Fiction,95.0,0,0,0,18,0,18
The Norton Reader,120.0,1,34,1,0,0,36
The Old Man and the Sea,16.0,1,1,0,32,0,34
The Power and the Glory,18.0,31,101,42,0,0,174
The Remains of The Day,25.0,1,48,0,0,0,49
The Road Less Traveled,20.0,0,0,0,30,0,30
The Shining,15.0,0,0,25,0,0,25
The Stone Angel,13.0,0,0,0,54,0,54
The Tale of Troy,10.0,0,14,4,26,0,44
The Theban Plays,10.0,0,0,0,41,0,41
The Three Theban Plays,20.0,0,0,0,7,0,7
The Yellow Birds,20.0,0,98,3,0,0,101
Things Fall Apart,15.0,0,0,146,0,0,146
To Kill a Mockingbird,20.0,60,6,123,0,0,189
Tuesdays with Morrie,23.0,0,14,35,0,0,49
Twelfth Night,10.0,0,10,39,19,0,68
Twentieth Century Encylcopedia of Catholicism,15.0,0,0,60,0,0,60
Twentieth Century Encylcopedia of Catholicism ,15.0,0,0,72,0,0,72
Twentieth Century Encylcopedia of Catholicism: Christianity and Colonialism,15.0,0,0,1,0,0,1
Twentieth Century Encylcopedia of Catholicism: History of the Missions,15.0,0,0,1,0,0,1
Twentieth Century Encylcopedia of Catholicism: Medicine and Morals,15.0,0,0,1,0,0,1
Twentieth Century Encylcopedia of Catholicism: Post-Reformation Spirituality ,15.0,0,0,1,0,0,1
Twentieth Century Encylcopedia of Catholicism: Spiritual Writers of the Middle Ages,15.0,0,0,1,0,0,1
Twentieth Century Encylcopedia of Catholicism:Christian Sects ,15.0,0,0,1,0,0,1
Understanding Economics,120.0,0,0,31,3,0,34
Une fois pour toutes,57.0,0,45,0,0,0,45
Waiting For Godot,15.0,0,42,0,0,0,42
Watchmen,20.0,0,39,3,0,0,42
Western Civilizations,90.0,21,4,0,0,0,25
When Bad Things Happen to Good People,15.0,0,0,30,2,0,32
Who Has Seen the Wind,10.0,0,9,0,0,0,9
World Religions: A Voyage of Discovery,25.0,0,1,166,0,0,167
Writers Workshop,20.0,0,0,0,52,0,52
Writing English,17.0,0,34,1,0,0,35
Wuthering Heights,10.0,0,0,2,48,0,50
Zan and the art of motorcycle maintenance,20.0,0,0,19,12,0,31
