title,price,new,good,fair,poor,destroyed,total
Symphonic Band Technique - Trumpet/ Cornet in Bb,15.0,0,0,0,27,0,27
Symphonic Band Technique - Tuba,15.0,0,0,12,0,0,12
Tale of Two Cities,18.0,0,0,3,0,0,3
The Adventures of Huckleberry Finn,12.0,0,98,39,0,0,137
The Ancient Greeks,45.0,0,0,24,17,0,41
The Ancient Romans,45.0,0,18,22,5,0,45
The Apprenticeship of Duddy Kravitz,37.0,0,40,0,4,0,44
The Bridge of San Luis Rey,16.0,0,38,0,0,0,38
The Broadview Anthology of Poetry,55.0,8,0,0,0,0,8
The Cellist of Sarajevo,15.0,0,21,26,0,0,47
The Fifth Week,20.0,0,0,32,0,0,32
The Glass Menagerie,10.0,0,0,32,1,0,33
The Great Gatsby,21.0,0,26,75,12,0,113
The Importance of Being Earnest,10.0,26,0,3,23,0,52
The Merchant of Venice,25.0,37,0,8,77,0,122
The Norton Anthology of Short Fiction,95.0,0,0,0,18,0,18
The Norton Reader,120.0,1,35,0,0,0,36
The Old Man and the Sea,16.0,0,1,0,0,0,1
The Power and the Glory,18.0,31,101,42,0,0,174
The Remains of the Day,15.0,0,2,0,0,0,2
The Tale of Troy,10.0,0,13,4,26,0,43
The Tempest,10.0,0,7,0,0,0,7
The Yellow Birds,20.0,0,98,3,0,0,101
Things Fall Apart,15.0,0,0,146,0,0,146
To Kill Mockingbird,20.0,0,6,95,0,0,101
Tuesdays with Morrie,23.0,0,14,35,0,0,49
Twelfth Night,10.0,0,10,40,18,0,68
Understanding Economics,120.0,0,0,28,3,0,31
Une fois pour toutes,57.0,0,44,0,0,0,44
Watchmen,20.0,0,39,3,0,0,42
Western Civilizations,90.0,20,4,0,0,0,24
When Bad Things Happen to Good People,15.0,0,0,30,2,0,32
World Religions: A Voyage of Discovery,25.0,0,0,167,0,0,167
Writing English,17.0,0,34,1,0,0,35
